model,condition,repeat,n_scheduled,n_valid,coverage,accuracy_all,accuracy_valid,macro_f1,kappa,alpha_gold
gpt4o_mini,zero_shot,1,600,600,1.0,0.6316666666666667,0.6316666666666667,0.593241701326031,0.4233278246499088,0.405113733308189
gpt4o_mini,zero_shot,2,600,600,1.0,0.6333333333333333,0.6333333333333333,0.5946589817782812,0.4255124689907298,0.40731719921538845
gpt4o_mini,zero_shot,3,600,600,1.0,0.6266666666666667,0.6266666666666667,0.590320351613174,0.4162891800687077,0.39701263333251013
gpt4o_mini,persona_neutral,1,600,600,1.0,0.6183333333333333,0.6183333333333333,0.5740673571563936,0.4001597827652895,0.37990835405417
gpt4o_mini,persona_neutral,2,600,599,0.9983333333333333,0.6166666666666667,0.6176961602671118,0.5784544854954469,0.4034720742425494,0.38157678033593156
gpt4o_mini,persona_neutral,3,600,600,1.0,0.62,0.62,0.5811477507195706,0.40647154274012304,0.3853065574765756
gpt4o_mini,persona_pro,1,600,599,0.9983333333333333,0.6216666666666667,0.6227045075125208,0.6048949517251048,0.42747303869739894,0.40652744779292227
gpt4o_mini,persona_pro,2,600,599,0.9983333333333333,0.6233333333333333,0.6243739565943238,0.606274788261679,0.4281974696862987,0.40762385296886405
gpt4o_mini,persona_pro,3,600,600,1.0,0.6316666666666667,0.6316666666666667,0.6148528046324307,0.4384330333509794,0.4195841264486905
gpt4o_mini,persona_con,1,600,600,1.0,0.5866666666666667,0.5866666666666667,0.5104822982884576,0.3423843869325413,0.3125572190832
gpt4o_mini,persona_con,2,600,600,1.0,0.585,0.585,0.5063023190617729,0.3414063223229753,0.30967195943368087
gpt4o_mini,persona_con,3,600,600,1.0,0.5883333333333334,0.5883333333333334,0.515889576938955,0.3466443885041155,0.3170832382125125
qwen3_30b,zero_shot,1,600,600,1.0,0.6466666666666666,0.6466666666666666,0.6381992132537019,0.45901576594776433,0.4440004112228849
qwen3_30b,zero_shot,2,600,600,1.0,0.64,0.64,0.6306184915989429,0.44891867298255755,0.43341566450884605
qwen3_30b,zero_shot,3,600,600,1.0,0.6483333333333333,0.6483333333333333,0.6397577296879294,0.4630542289781065,0.4473954374284641
qwen3_30b,persona_neutral,1,600,599,0.9983333333333333,0.6166666666666667,0.6176961602671118,0.6108053802760568,0.42355437888720787,0.40194266689066394
qwen3_30b,persona_neutral,2,600,600,1.0,0.6183333333333333,0.6183333333333333,0.6099709956478997,0.4235440711885312,0.40262472559390294
qwen3_30b,persona_neutral,3,600,599,0.9983333333333333,0.615,0.6160267111853088,0.6078573856875744,0.41973743508531036,0.3985936383872497
qwen3_30b,persona_pro,1,600,599,0.9983333333333333,0.6533333333333333,0.654424040066778,0.6451979193098198,0.4691444179953077,0.4593578512126204
qwen3_30b,persona_pro,2,600,599,0.9983333333333333,0.6566666666666666,0.657762938230384,0.649326352486987,0.4755846529663985,0.46571226389418097
qwen3_30b,persona_pro,3,600,600,1.0,0.655,0.655,0.6470456690336134,0.468399291199055,0.4593652045299591
qwen3_30b,persona_con,1,600,599,0.9983333333333333,0.655,0.656093489148581,0.6220829354710911,0.43559320483382585,0.42873360037623853
qwen3_30b,persona_con,2,600,600,1.0,0.6583333333333333,0.6583333333333333,0.6264867160532415,0.4438390479247961,0.4366983157899562
qwen3_30b,persona_con,3,600,600,1.0,0.6633333333333333,0.6633333333333333,0.6321140131175059,0.4498186489688639,0.4432370675684063
